timestamp,CPU_utilization,power
0,20.7,21.68093733997167
10,3.7,17.146840215437788
20,10.7,19.17305896663406
30,0.0,15.955986142080718
40,3.8,17.177779748205865
50,3.6,17.11583773633807
60,0.0,15.955986142080718
70,16.0,20.54776175025914
80,0.0,15.955986142080718
90,8.0,18.423288414560876
100,8.3,18.508446141991506
110,3.6,17.11583773633807
120,10.7,19.17305896663406
130,3.6,17.11583773633807
140,4.2,17.30091277843179
150,0.0,15.955986142080718
160,10.7,19.17305896663406
170,3.6,17.11583773633807
180,14.3,20.119428595110328
190,3.6,17.11583773633807
200,23.1,22.23611814401225
210,4.2,17.30091277843179
220,18.5,21.15900732244644
230,11.1,19.281076387496658
240,11.1,19.281076387496658
250,12.0,19.521398747685158
260,10.7,19.17305896663406
270,71.8,35.12338243206537
280,11.1,19.281076387496658
290,7.1,18.16489905577746
300,3.8,17.177779748205865
310,0.0,15.955986142080718
320,4.0,17.239470847241144
330,8.3,18.508446141991506
340,3.6,17.11583773633807
350,7.7,18.33764858393789
360,21.4,21.8442699524741
370,3.6,17.11583773633807
380,83.3,40.1932310199352
390,0.0,15.955986142080718
400,0.0,15.955986142080718
410,3.6,17.11583773633807
420,3.8,17.177779748205865
430,8.3,18.508446141991506
440,3.6,17.11583773633807
450,7.7,18.33764858393789
460,11.5,19.38834492527055
470,3.6,17.11583773633807
480,10.7,19.17305896663406
490,0.0,15.955986142080718
500,0.0,15.955986142080718
510,4.2,17.30091277843179
520,11.5,19.38834492527055
530,3.8,17.177779748205865
540,0.0,15.955986142080718
550,3.8,17.177779748205865
560,3.3,17.022450439814154
570,12.0,19.521398747685158
580,10.3,19.064278702779102
590,16.7,20.721039311417684
600,28.6,23.46848469040271
610,48.4,27.949178108116993
620,28.6,23.46848469040271
630,3.6,17.11583773633807
640,16.7,20.721039311417684
650,0.0,15.955986142080718
660,15.4,20.397832393483593
670,10.3,19.064278702779102
680,10.7,19.17305896663406
690,3.8,17.177779748205865
700,4.2,17.30091277843179
710,10.7,19.17305896663406
720,3.8,17.177779748205865
730,11.1,19.281076387496658
740,8.3,18.508446141991506
750,0.0,15.955986142080718
760,7.7,18.33764858393789
770,10.7,19.17305896663406
780,8.0,18.423288414560876
790,4.0,17.239470847241144
800,8.0,18.423288414560876
810,7.7,18.33764858393789
820,6.7,18.048625009327335
830,12.5,19.65333151805987
840,4.0,17.239470847241144
850,10.7,19.17305896663406
860,7.4,18.251520760788203
870,0.0,15.955986142080718
880,38.5,25.6453177611967
890,7.4,18.251520760788203
900,0.0,15.955986142080718
910,8.0,18.423288414560876
920,14.3,20.119428595110328
930,4.0,17.239470847241144
940,22.7,22.14449465772505
950,21.7,21.913900203979992
960,4.0,17.239470847241144
970,3.2,16.991193994152958
980,4.2,17.30091277843179
990,3.6,17.11583773633807
1000,7.7,18.33764858393789
1010,3.3,17.022450439814154
1020,14.8,20.246555704927847
1030,0.0,15.955986142080718
1040,11.5,19.38834492527055
1050,0.0,15.955986142080718
1060,72.0,35.20092011982011
1070,20.7,21.68093733997167
1080,7.1,18.16489905577746
1090,0.0,15.955986142080718
1100,4.3,17.331540851394124
1110,14.8,20.246555704927847
1120,7.4,18.251520760788203
1130,8.0,18.423288414560876
1140,13.0,19.784170501831582
1150,3.7,17.146840215437788
1160,4.0,17.239470847241144
1170,79.5,38.372326756193786
1180,24.1,22.46376327085963
